,Book Author,Book Owner,Book Title,Publication Year
0,Ernest Hemingway,Ernest Hemingway,Hemingway par lui-même,1959
1,Ernest Hemingway,Ernest Hemingway,Men at war; the best war stories of all time,1955
2,Ernest Hemingway,Ernest Hemingway,Men at war; the best war stories of all time,1942
3,Ernest Hemingway,Ernest Hemingway,Men at war : the best war stories of all time,1952
4,Ernest Hemingway,Ernest Hemingway,Le vieil homme et la mer: Transcription dramatique du roman de Ernest Hemingway,1955
5,Gertrude Stein,Ernest Hemingway,The autobiography of Alice B. Toklas,1947
6,Gertrude Stein,Ernest Hemingway,Descriptions of literature,1926
7,Gertrude Stein,Ernest Hemingway,Everybody's autobiography,9999
8,Gertrude Stein,Ernest Hemingway,"Lucy Church, amiably",1930
9,Gertrude Stein,Ernest Hemingway,Picasso,9999
10,Gertrude Stein,Ernest Hemingway,Portrait of Mabel Dodge at the villa Curonia,9999
11,Gertrude Stein,Ernest Hemingway,Portraits and prayers,1934
12,Gertrude Stein,Ernest Hemingway,Wars I have seen,1945
13,Ezra Pound,James Joyce,Lustra of Ezra Pound,1915
14,Ezra Pound,James Joyce,"'Noh' or, Accomplishment, a study of the classical stage of Japan",1917
15,Ezra Pound   ,Ezra Pound,25 [i.e. Tjugufem] dikter,1953
16,Ezra Pound   ,Ezra Pound,1933: Past history: [criticism of James Joyce],1960
17,Ezra Pound   ,Ezra Pound,A B C of economics,1933
18,Ezra Pound   ,Ezra Pound,A B C of Reading,1934
19,Ezra Pound   ,Ezra Pound,ABC for læsere,1960
20,Ezra Pound   ,Ezra Pound,A lume spento,1908
21,Ezra Pound   ,Ezra Pound,Alfred Venison's poems,1935
22,Ezra Pound   ,Ezra Pound,"America, Roosevelt e le cause della guerra presente, L'",1944
23,Ezra Pound   ,Ezra Pound,"America, Roosevelt and the causes of the present war",1951
24,Ezra Pound   ,Ezra Pound,Cantemos al amor,1965
25,Ezra Pound   ,Ezra Pound,A draft of XVI cantos of Ezra Pound: For the beginning of a poem of some length / now first made into a book,1925
26,Ezra Pound   ,Ezra Pound,LXXV canto pisano,1964
27,Ezra Pound   ,Ezra Pound,Canzoni,1911
28,Ezra Pound   ,Ezra Pound,Carta a C.J.C.,1960
29,Ezra Pound   ,Ezra Pound,Cathay,1915
30,Ezra Pound   ,Ezra Pound,Cinco poesias,1952
31,Ezra Pound   ,Ezra Pound,A draft of XXX cantos,1930
32,Ezra Pound   ,Ezra Pound,Drafts and Fragments of Cantos CX-CXVII,1970
33,Ezra Pound   ,Ezra Pound,Drafts & Fragments of Cantos CX-CXVII,1968
34,Ezra Pound   ,Ezra Pound,E.P. ode pour l'election de son sepulcre,1951
35,Ezra Pound   ,Ezra Pound,L'economia ortologica: il problema centrale,1937
36,Ezra Pound   ,Ezra Pound,Economia ortologica: le basi etiche,1937
37,Ezra Pound   ,Ezra Pound,"Eleven new cantos, XXXI-XLI",1934
38,Ezra Pound   ,Ezra Pound,The fifth decad of cantos,1937
39,Ezra Pound   ,Ezra Pound,Gold and work,1951
40,Ezra Pound   ,Ezra Pound,Guide to kulchur,1938
41,Ezra Pound   ,Ezra Pound,Secondo biglietto da visita,1953
42,Ezra Pound   ,Ezra Pound,Diptych Rome-London,1957
43,Ezra Pound   ,Ezra Pound,Hugh Selwyn Mauberley,1920
44,Ezra Pound   ,Ezra Pound,If this be treason......,1948
45,Ezra Pound   ,Ezra Pound,Imaginary letters,1930
46,Ezra Pound   ,Ezra Pound,"Instigations of Ezra Pound, together with an essay on the Chinese written character",1920
47,Ezra Pound   ,Ezra Pound,An introduction to the economic nature of the United States,1950
48,Ezra Pound   ,Ezra Pound,Introductory text book,1939
49,Ezra Pound   ,Ezra Pound,Introductory text book E. P.: [in four chapters],1938
50,Ezra Pound   ,Ezra Pound,Introduzione alla natura economica degli S.U.A.,1944
51,Ezra Pound   ,Ezra Pound,"Jefferson and/or Mussolini; l'idea statale; fascism, as I have seen it",1935
52,Ezra Pound   ,Ezra Pound,K_ntau I,1957
53,Ezra Pound   ,Ezra Pound,"The letters of Ezra Pound, 1907-1941",1950
54,Ezra Pound   ,Ezra Pound,"The letters of Ezra Pound, 1907-1941",1951
55,Ezra Pound   ,Ezra Pound,Lustra of Ezra Pound,1916
56,Ezra Pound   ,Ezra Pound,"Lustra of Ezra Pound, with earlier poems",1917
57,Ezra Pound   ,Ezra Pound,Make it new,1934
58,Ezra Pound   ,Ezra Pound,Maska i pie__: antologia poezji,1960
59,Ezra Pound   ,Ezra Pound,Orientamenti,1944
60,Ezra Pound   ,Ezra Pound,"Oro e lavoro: alla memoria di Aurelio Baisi, Rapallo",1944
61,Ezra Pound   ,Ezra Pound,Personae & exultations of Ezra Pound,1913
62,Ezra Pound   ,Ezra Pound,Personae of Ezra Pound,1909
63,Ezra Pound   ,Ezra Pound,What is money for: An introductory text book,1951
64,Ezra Pound   ,Ezra Pound,What is money for,1939
65,Ezra Pound   ,Ezra Pound,A visiting card,1952
66,Ezra Pound   ,Ezra Pound,Polite essays,1937
67,Ezra Pound   ,Ezra Pound,Quia pauper amavi,1919
68,Ezra Pound   ,Ezra Pound,"Redondillas; or, Something of that sort",1967
69,Ezra Pound   ,Ezra Pound,"Redondillas, or something of that sort",1967
70,Ezra Pound   ,Ezra Pound,"Ripostes of Ezra Pound, whereto are appended the complete poetical works to T. E. Hulme, with prefatory note",1912
71,Ezra Pound   ,Ezra Pound,"The Seafarer, [translated by] Ezra Pound from the Anglo-Saxon ; with a portrait of the poet by Oskar Kokoschka",1965
72,Ezra Pound   ,Ezra Pound,Sekai bungaku no yomikata,1953
73,Ezra Pound   ,Ezra Pound,[Selected Poems],1973
74,Ezra Pound   ,Ezra Pound,Versi prosaici,1959
75,Ernest Hemingway,Ernest Hemingway,Three stories & ten poems,1923
76,Ernest Hemingway,Ernest Hemingway,In our time,1924
77,Ernest Hemingway,Ernest Hemingway,"The torrents of spring, a romantic novel in honor of the passing of a great race",1926
78,Ernest Hemingway,Ernest Hemingway,The sun also rises,1926
79,Ernest Hemingway,Ernest Hemingway,Men without women,1927
80,Ernest Hemingway,Ernest Hemingway,In our time : stories,1925
81,Ernest Hemingway,Ernest Hemingway,A farewell to arms,1929
82,Ernest Hemingway,Ernest Hemingway,Death in the afternoon,1932
83,Ernest Hemingway,Ernest Hemingway,Winner take nothing,1933
84,Ernest Hemingway,Ernest Hemingway,Green hills of Africa,1935
85,Ernest Hemingway,Ernest Hemingway,To have and have not,1937
86,Ernest Hemingway,Ernest Hemingway,"The fifth column, and the first forty-nine stories",1938
87,Ernest Hemingway,Ernest Hemingway,For whom the bell tolls,1940
88,Ernest Hemingway,Ernest Hemingway,Across the river and into the trees,1950
89,Ernest Hemingway,Ernest Hemingway,The old man and the sea,1952
90,Ernest Hemingway,Ernest Hemingway,A moveable feast,9999
91,Ernest Hemingway,Ernest Hemingway,Islands in the stream,9999
92,Ernest Hemingway,Ernest Hemingway,The dangerous summer,9999
93,Ernest Hemingway,Ernest Hemingway,The garden of Eden,9999
94,Ernest Hemingway,Ernest Hemingway,Under Kilimanjaro,9999
95,Ernest Hemingway,Ernest Hemingway,The snows of Kilimanjaro; and other stories,1936
96,Ezra Pound   ,Ezra Pound,Social credit: an impact,1935
97,Ezra Pound   ,Ezra Pound,Two essays,1957
98,Ezra Pound   ,Ezra Pound,Umbra: The Early Poems,1920
