,Book Author,Book Owner,Book Title,Publication Year
0,A.E.T.,Ernest Hemingway,Sinistro and celebration: 19 poems,1956
1,R. Abarquero Durango,Ernest Hemingway,Tauromaquia y taurogogía: Algunos concertos básicos para la revisión de la fiesta nacional,1959
2,Edward Charles Abbott,Ernest Hemingway,We pointed them North; recollections of a cowpuncher,1955
3,Edward Charles Abbott,Ernest Hemingway,We pointed them north; recollections of a cowpuncher,1939
4,Hallett Edward Abend,Ernest Hemingway,Japan unmasked,1941
5,Edmundo González Acebal,Ernest Hemingway,"El pase natural: origen, evolución, critica",9999
6,Dean Acheson,Ernest Hemingway,Sketches from life of men I have known,1959
7,Julián Acuña,Ernest Hemingway,El mosaico y otras plagas de la fruta bomba,1949
8,George Adam,Ernest Hemingway,Treason and tragedy : an account of French war trials,1929
9,George Adam,Ernest Hemingway,A book about Paris,1928
10, Louis Adamic,Ernest Hemingway,Dynamite: the story of class violence in America,1931
11,Charlotte Adams,Ernest Hemingway,The SAS world wide restaurant cookbook,1960
12,Cleve F. Adams,Ernest Hemingway,The crooking finger : a Rex McBride murder mystery,1944
13,Franklin P. Adams,Ernest Hemingway,"Innocent merriment, an anthology of light verse",1942
14,Henry Adams,Ernest Hemingway,Henry Adams and his friends,1947
15,Henry Adams,Ernest Hemingway,Mont-Saint-Michel and Chartres,1933
16,James Donald Adams,Ernest Hemingway,The new treasure chest; an anthology of reflective prose,1953
17,James Donald Adams,Ernest Hemingway,The shape of books to come,1945
18,James Donald Adams,Ernest Hemingway,"Triumph over odds; an anthology of man's unconquerable spirit, edited with a foreword and introductory notes",1957
19,James Truslow Adams,Ernest Hemingway,The epic of America,1931
20,James Truslow Adams,Ernest Hemingway,The march of democracy,9999
21,James Truslow Adams,Ernest Hemingway,Album of American history,1944
22,James Truslow Adams,Ernest Hemingway,Atlas of American history,1943
23,Nicholson B. Adams,Ernest Hemingway,Brief French review grammar and composition,1936
24,Ramon F. Adams,Ernest Hemingway,"Western words; a dictionary of the range, cow camp and trail",1944
25,Richard P. Adams,Ernest Hemingway,Sunrise out of the waste land,1951
26,Samuel Hopkins Adams,Ernest Hemingway,"A. Woollcott, his life and his world",1945
27,Samuel Hopkins Adams,Ernest Hemingway,Incredible era; the life and times of Warren Gamaliel Harding,1939
28,Charles Addams,Ernest Hemingway,Drawn and quartered,1942
29,Polly Adler,Ernest Hemingway,A house is not a home,1953
30,Adler Planetarium and Astronomical Museum,Ernest Hemingway,The calendar,9999
31,Adler Planetarium and Astronomical Museum,Ernest Hemingway,Stars of summer,9999
32,Adler Planetarium and Astronomical Museum,Ernest Hemingway,Stars of winter,9999
33,Adler Planetarium and Astronomical Museum,Ernest Hemingway,The story of the planets,9999
34,Frederick George Aflalo,Ernest Hemingway,Sport in Europe,1901
35,Herbert Agar,Ernest Hemingway,The city of man; a declaration on world democracy,1940
36,James Agee,Ernest Hemingway,Permit me voyage,1934
37,James Agee,Ernest Hemingway,Let us now praise famous men,1941
38,James Agee,Ernest Hemingway,Let us now praise famous men; three tenant families,1960
39,Mary Allerton,Ernest Hemingway,The shadow and the web,1940
40,Rewi Alley,Ernest Hemingway,Two years of Indusco,1940
41,Margery Allingham,Ernest Hemingway,Coroner's pidgin,1952
42,Margery Allingham,Ernest Hemingway,Flowers for the judge,1936
43,Margery Allingham,Ernest Hemingway,Mystery mile,1952
44,[N.auth],Ernest Hemingway,The Allianza Nazionale: Documents of the Second Italian Risorgimento,1931
45,Luis Alayza Paz Soldán,Ernest Hemingway,La capa roja: Novela peruana de los tiempos del general Salaverry,1953
46,Luis Alayza Paz Soldán,Ernest Hemingway,Las misteriosas islas del Perú,1951
47,Miriam Allott (ed.),Ernest Hemingway,Novelists on the novel,1959
48,Antoine Albalat,Ernest Hemingway,Gustave Flaubert et ses amis,9999
