,Book Author,Book Owner,Book Title,Publication Year
0,Ernest Hemingway,Ernest Hemingway,Men at war; the best war stories of all time,1942
1,Gertrude Stein,Ernest Hemingway,The autobiography of Alice B. Toklas,1947
2,Gertrude Stein,Ernest Hemingway,Descriptions of literature,1926
3,Gertrude Stein,Ernest Hemingway,"Lucy Church, amiably",1930
4,Gertrude Stein,Ernest Hemingway,Portraits and prayers,1934
5,Gertrude Stein,Ernest Hemingway,Wars I have seen,1945
6,Georges Simenon,Ernest Hemingway,Au rendez-vous des Terre-Neuvas,1931
7,Georges Simenon,Ernest Hemingway,Le blanc à lunettes,1937
8,Georges Simenon,Ernest Hemingway,"Le charretier de ""La Providence""",1931
9,Georges Simenon,Ernest Hemingway,Chemin sans issue,1938
10,Georges Simenon,Ernest Hemingway,Chez les Flamands,1932
11,Georges Simenon,Ernest Hemingway,Le chien jaune,1931
12,Georges Simenon,Ernest Hemingway,Le coup de lune,1933
13,Georges Simenon,Ernest Hemingway,Le coup de vague,1939
14,Georges Simenon,Ernest Hemingway,Les demoiselles de Concarneau,1936
15,Georges Simenon,Ernest Hemingway,L'écluse No. 1,1933
16,Georges Simenon,Ernest Hemingway,L'évadé,1936
17,Georges Simenon,Ernest Hemingway,Faubourg,1937
18,Georges Simenon,Ernest Hemingway,Le fou de Bergerac,1932
19,Georges Simenon,Ernest Hemingway,Liberty Bar,1936
20,Georges Simenon,Ernest Hemingway,Le locataire,1934
21,Georges Simenon,Ernest Hemingway,Maigret,1934
22,Georges Simenon,Ernest Hemingway,Maigret travels south,1945
23,Georges Simenon,Ernest Hemingway,The man who watched the trains go by,1946
24,Georges Simenon,Ernest Hemingway,La Marie du port,1938
25,Georges Simenon,Ernest Hemingway,La maison du canal,1933
26,Georges Simenon,Ernest Hemingway,Les nouvelles enquêtes de Maigret,1944
27,Georges Simenon,Ernest Hemingway,La nuit du carrefour,1936
28,Georges Simenon,Ernest Hemingway,L'ombre chinoise,1932
29,Georges Simenon,Ernest Hemingway,"Le passager du ""Polarlys""",1932
30,Georges Simenon,Ernest Hemingway,Le pendu de Saint-Pholien,1931
31,Georges Simenon,Ernest Hemingway,Pietr-le-Letton,1936
32,Georges Simenon,Ernest Hemingway,Les Pitard,1935
33,Georges Simenon,Ernest Hemingway,Quartier ne_gre,1935
34,Georges Simenon,Ernest Hemingway,Les rescapés du Télémaque,1938
35,Georges Simenon,Ernest Hemingway,Les sept minutes,1938
36,Georges Simenon,Ernest Hemingway,"Signé Picpus, suivi de L'inspecteur Cadavre, Félicie est là, Nouvelles exotiques",1944
37,Georges Simenon,Ernest Hemingway,Les suicidés,1934
38,Georges Simenon,Ernest Hemingway,La tête d'un homme,1931
39,Georges Simenon,Ernest Hemingway,Les 13 mystères,1932
40,Georges Simenon,Ernest Hemingway,"Touriste de bananes, ou les dimanches de Tahiti",1938
41,Georges Simenon,Ernest Hemingway,Les trois crimes de mes amis,1938
42,Ezra Pound   ,Ezra Pound,A B C of economics,1933
43,Ezra Pound   ,Ezra Pound,A B C of Reading,1934
44,Ezra Pound   ,Ezra Pound,Alfred Venison's poems,1935
45,Ezra Pound   ,Ezra Pound,"America, Roosevelt e le cause della guerra presente, L'",1944
46,Ezra Pound   ,Ezra Pound,A draft of XVI cantos of Ezra Pound: For the beginning of a poem of some length / now first made into a book,1925
47,Ezra Pound   ,Ezra Pound,A draft of XXX cantos,1930
48,Ezra Pound   ,Ezra Pound,L'economia ortologica: il problema centrale,1937
49,Ezra Pound   ,Ezra Pound,Economia ortologica: le basi etiche,1937
50,Ezra Pound   ,Ezra Pound,"Eleven new cantos, XXXI-XLI",1934
51,Ezra Pound   ,Ezra Pound,The fifth decad of cantos,1937
52,Ezra Pound   ,Ezra Pound,Guide to kulchur,1938
53,Ezra Pound   ,Ezra Pound,If this be treason......,1948
54,Ezra Pound   ,Ezra Pound,Imaginary letters,1930
55,Ezra Pound   ,Ezra Pound,Introductory text book,1939
56,Ezra Pound   ,Ezra Pound,Introductory text book E. P.: [in four chapters],1938
57,Ezra Pound   ,Ezra Pound,Introduzione alla natura economica degli S.U.A.,1944
58,Ezra Pound   ,Ezra Pound,"Jefferson and/or Mussolini; l'idea statale; fascism, as I have seen it",1935
59,Ezra Pound   ,Ezra Pound,Make it new,1934
60,Ezra Pound   ,Ezra Pound,Orientamenti,1944
61,Ezra Pound   ,Ezra Pound,"Oro e lavoro: alla memoria di Aurelio Baisi, Rapallo",1944
62,Georges Simenon   ,Ezra Pound,Pedigree,1948
63,Ezra Pound   ,Ezra Pound,What is money for,1939
64,Ezra Pound   ,Ezra Pound,Polite essays,1937
65,Ernest Hemingway,Ernest Hemingway,"The torrents of spring, a romantic novel in honor of the passing of a great race",1926
66,Ernest Hemingway,Ernest Hemingway,The sun also rises,1926
67,Ernest Hemingway,Ernest Hemingway,Men without women,1927
68,Ernest Hemingway,Ernest Hemingway,In our time : stories,1925
69,Ernest Hemingway,Ernest Hemingway,A farewell to arms,1929
70,Ernest Hemingway,Ernest Hemingway,Death in the afternoon,1932
71,Ernest Hemingway,Ernest Hemingway,Winner take nothing,1933
72,Ernest Hemingway,Ernest Hemingway,Green hills of Africa,1935
73,Ernest Hemingway,Ernest Hemingway,To have and have not,1937
74,Ernest Hemingway,Ernest Hemingway,"The fifth column, and the first forty-nine stories",1938
75,Ernest Hemingway,Ernest Hemingway,For whom the bell tolls,1940
76,Ernest Hemingway,Ernest Hemingway,The snows of Kilimanjaro; and other stories,1936
77,Ezra Pound   ,Ezra Pound,Social credit: an impact,1935
78,Ezra Pound,Ernest Hemingway,"A draft of XVI Cantos of Ezra Pound for the beginning of a poem of some length, now first made into a book with initials",1925
79,Ezra Pound,Ernest Hemingway,A draft of XXX cantos,1933
80,Ezra Pound,Ernest Hemingway,Guide to kulchur,1938
81,Ezra Pound,Ernest Hemingway,Guide to kulchur,1938
82,Ezra Pound,Ernest Hemingway,"If This Be Treason . . .” e.e. cummings/examined. James Joyce: to his memory. A French Accent. Canto 45."" Blast.",1948
83,Ezra Pound,Ernest Hemingway,"Personæ: the collected poems, including Ripostes, Lustra, Homage to Sextus Propertius, H.S. Mauberley",1926
84,Ezra Pound,Ernest Hemingway,"Personæ: the collected poems, including Ripostes, Lustra, Homage to Sextus Propertius, H.S. Mauberley",1926
85,Ezra Pound,Ernest Hemingway,Profile: an anthology collected in MCMXXXII,1932
86,Ezra Pound,Ernest Hemingway,Selected poems,1933
87,Ezra Pound,Ernest Hemingway,Selected poems,1928
88,Ezra Pound,Ernest Hemingway,Active anthology,1933
89,Ezra Pound,Ernest Hemingway,The exile,1927
90,Ezra Pound,Ernest Hemingway,The exile,1927
91,Gertrude Stein,Gertrude Stein,"Literally True : from To Do, a book of alphabets and birthdays for all children everywhere : a Christmas remembrance of Gertrude Stein",1947
92,Ernest Hemingway,Gertrude Stein,In Our Time,1925
93,Gertrude Stein,Gertrude Stein,Brewsie et Willie. Traduit et introduit par Raymond Schwab,1947
94,Gertrude Stein,Gertrude Stein,Is Dead,1937
95,Gertrude Stein,Gertrude Stein,A Book Concluding with As a Wife has a Cow : a love story,1926
96,Gertrude Stein,Gertrude Stein,The Autobiography of Alice B. Toklas,1933
97,Gertrude Stein,Gertrude Stein,Dix Portraits,1930
98,Gertrude Stein,Gertrude Stein,"Three Lives : The good Anna, Melanctha, The gentle Lena",1945
99,Gertrude Stein,Gertrude Stein,Tre esistenze,1940
100,Gertrude Stein,Gertrude Stein,The Gertrude Stein first reader & three plays,1946
101,Gertrude Stein,Gertrude Stein,Before the Flowers of Friendship Faded Friendship Faded,1931
102,Gertrude Stein,Gertrude Stein,Autobiografia di Alice Toklas,1938
