,Book Author,Book Owner,Book Title,Publication Year
0,Edward Charles Abbott,Ernest Hemingway,We pointed them north; recollections of a cowpuncher,1939
1,Hallett Edward Abend,Ernest Hemingway,Japan unmasked,1941
2,George Adam,Ernest Hemingway,Treason and tragedy : an account of French war trials,1929
3,George Adam,Ernest Hemingway,A book about Paris,1928
4, Louis Adamic,Ernest Hemingway,Dynamite: the story of class violence in America,1931
5,Henry Adams,Ernest Hemingway,Mont-Saint-Michel and Chartres,1933
6,James Truslow Adams,Ernest Hemingway,The epic of America,1931
7,Nicholson B. Adams,Ernest Hemingway,Brief French review grammar and composition,1936
8,Samuel Hopkins Adams,Ernest Hemingway,Incredible era; the life and times of Warren Gamaliel Harding,1939
9,Frederick George Aflalo,Ernest Hemingway,Sport in Europe,1901
10,Herbert Agar,Ernest Hemingway,The city of man; a declaration on world democracy,1940
11,James Agee,Ernest Hemingway,Permit me voyage,1934
12,James Agee,Ernest Hemingway,Let us now praise famous men,1941
13,Mary Allerton,Ernest Hemingway,The shadow and the web,1940
14,Rewi Alley,Ernest Hemingway,Two years of Indusco,1940
15,Margery Allingham,Ernest Hemingway,Flowers for the judge,1936
16,[N.auth],Ernest Hemingway,The Allianza Nazionale: Documents of the Second Italian Risorgimento,1931
17,[N.auth],Ernest Hemingway,Almanaque agrícola nacional,1941
18,Joseph Alexander Altsheler,Ernest Hemingway,The Great Sioux Trail: a story of mountain and plain,1923
19,Basilio Alvarez,Ernest Hemingway,España en crisol: Carta-prólogo del ministro de España F. Jimenez de Asua,1937
20,Marcelino [Marcelo] Alvarez,Ernest Hemingway,Las competencias: Bomba-Gallo-Machaco-Pastor,1911
21,Julio Alvarez del Vayo,Ernest Hemingway,Freedom's battle,1940
22,[N.auth],Ernest Hemingway,Albatross almanac for 1933,1933
23,[N.auth],Ernest Hemingway,The albatross book of American short stories,1935
24,[N.auth],Ernest Hemingway,Gli alberghi in Italia,1936
25,Federico M. Alcázar,Ernest Hemingway,Sánchez Mejiás: El torero y el hombre,1922
26,Richard Aldington,Ernest Hemingway,"All men are enemies, a romance",1933
27,Léon Ameline,Ernest Hemingway,Ce qu'il faut connaître de la police et de ses mystères,1926
28,Richard Aldington,Ernest Hemingway,"The love of Myrrhine and Konallis, and other prose poems",1926
29,[N.auth],Ernest Hemingway,The Viking book of poetry of the English-speaking world,1941
30,Waldo Frank (ed.),Ernest Hemingway,America & Alfred Stieglitz: A collective portrait,1934
31,Ciro Alegría,Ernest Hemingway,Broad and alien is the world,1941
32,American Automobile Association,Ernest Hemingway,Northeastern Tour Book,1939
33,Wilfrid Backhouse Alexander,Ernest Hemingway,"Birds of the ocean, a handbook for voyagers containing descriptions of all the sea-birds of the world, with notes on the",1928
34,Brooks Van Wyck,Ernest Hemingway,The American Caravan: a yearbook of American literature,1927
35,American Kennel Club,Ernest Hemingway,Toy dogs: the breeds and standards as recognized by the American Kennel Club,1935
36,Ted Allan,Ernest Hemingway,This time a better earth; a novel,1939
37,Ethan Allen,Ernest Hemingway,Major league baseball: technique and tactics,1940
38,Herbert Warner Allen,Ernest Hemingway,The wines of France,1924
39,Karl Baedeker (Firm),Ernest Hemingway,Italy from the Alps to Naples abridged handbook for travellers,1909
40,Karl Baedeker,Ernest Hemingway,Spain and Portugal: handbook for travellers,1913
41,Henry Philip Bernard Baerlein,Ernest Hemingway,"Belmonte, the matador",1934
42,Hans Christian Andersen,Ernest Hemingway,Contes d'Andersen,1930
43,Ventura Bagüés,Ernest Hemingway,Efemérides taurinas : hoy hace años (Segunda serie de julio a diciembre),1928
44,Jerome Bahr,Ernest Hemingway,The platinum tower,1939
45,Francis Hill Bigelow,Ernest Hemingway,Historic silver of the Colonies and its makers,1941
46,Earl Derr Biggers,Ernest Hemingway,"Charlie Chan's caravan: The chinese parrot, The black camel, Charlie Chan carries on",1929
47,Eileen Bigland,Ernest Hemingway,Into China,1940
48,Henry Christopher Bailey,Ernest Hemingway,The bishop's crime,1941
49,Fernand Biguet,Ernest Hemingway,La pêche à la ligne d'aujourd'hui,1929
50,Henry Christopher Bailey,Ernest Hemingway,The twittering bird mystery,1938
51,Fernand Biguet,Ernest Hemingway,"Pour apprendre à pêcher les petits poissons: Ablette, chabot, goujon, vairon, vandoise",1935
52,John Edwin Bakeless,Ernest Hemingway,Daniel Boone,1939
53,Archie Binns,Ernest Hemingway,Mighty mountain,1940
54,André Birabeau,Ernest Hemingway,Revelation,1930
55,Charles Henry Baker,Ernest Hemingway,The gentleman's companion,1939
56,Clyde Baker,Ernest Hemingway,"Modern gunsmithing: a manual of firearms design, construction and remodeling, for amateurs and professionals",1933
57,Charles Montague Bakewell,Ernest Hemingway,The story of the American Red Cross in Italy,1920
58,Glenn Balch,Ernest Hemingway,Hide-rack kidnapped,1939
59,Hanson Weightman Baldwin,Ernest Hemingway,What the citizen should know about the Navy,1941
60,Louis Edward Bisch,Ernest Hemingway,Be glad you're neurotic,1936
61,John Peale Bishop,Ernest Hemingway,Act of darkness,1935
62,John Peale Bishop,Ernest Hemingway,Many thousands gone,1931
63,Ruby Aurora Black,Ernest Hemingway,Eleanor Roosevelt: a biography,1940
64,E.T. Ellis,Ernest Hemingway,Black's gardening dictionary,1921
65,Forrester Blake,Ernest Hemingway,Riding the mustang trail,1935
66,William J. Blake,Ernest Hemingway,The world is mine: the extravagant story of a modern Monte Cristo,1938
67,Honoré de Balzac,Ernest Hemingway,The works of Honoré de Balzac (36 Volumes),1901
68,Griffing Bancroft,Ernest Hemingway,Lower California: a cruise; the flight of the least Petrel,1932
69,Ralph Bandini,Ernest Hemingway,"Men, fish and tackle: the story of J.A. Coxe as told to Ralph Bandini",1936
70,Désiré Blanchet,Ernest Hemingway,"L'histoire de France à l'école: Leçons, récits, lectures, revisions. Cours élémentaire.",1912
71,Michael Blankfort,Ernest Hemingway,The brave and the blind,1940
