,Book Author,Book Owner,Publication Year
0,Louisa May Alcott,Ernest Hemingway,1893
1,[N.auth],Ernest Hemingway,1899
2,Samuel White Baker,Ernest Hemingway,1890
3,Samuel White Baker,Ernest Hemingway,1891
4,Honoré de Balzac,Ernest Hemingway,1891
5,Honoré de Balzac,Ernest Hemingway,1891
6,Honoré de Balzac,Ernest Hemingway,1891
7,Honoré de Balzac,Ernest Hemingway,1891
8,Honoré de Balzac,Ernest Hemingway,1891
9,Honoré de Balzac,Ernest Hemingway,1891
10,Honoré de Balzac,Ernest Hemingway,1891
11,Honoré de Balzac,Ernest Hemingway,1891
12,Honoré de Balzac,Ernest Hemingway,1891
13,Honoré de Balzac,Ernest Hemingway,1891
14,Honoré de Balzac,Ernest Hemingway,1891
15,Honoré de Balzac,Ernest Hemingway,1891
16,Honoré de Balzac,Ernest Hemingway,1891
17,Honoré de Balzac,Ernest Hemingway,1891
18,Honoré de Balzac,Ernest Hemingway,1891
19,Honoré de Balzac,Ernest Hemingway,1892
20,Honoré de Balzac,Ernest Hemingway,1892
21,Honoré de Balzac,Ernest Hemingway,1892
22,Honoré de Balzac,Ernest Hemingway,1892
23,Honoré de Balzac,Ernest Hemingway,1892
24,Honoré de Balzac,Ernest Hemingway,1892
25,Honoré de Balzac,Ernest Hemingway,1892
26,Honoré de Balzac,Ernest Hemingway,1892
27,Honoré de Balzac,Ernest Hemingway,1892
28,Honoré de Balzac,Ernest Hemingway,1892
29,Honoré de Balzac,Ernest Hemingway,1892
30,Honoré de Balzac,Ernest Hemingway,1892
31,Honoré de Balzac,Ernest Hemingway,1892
32,Vicente Blasco Ibáñez,Ernest Hemingway,1894
33,Vincente Blasco Ibáñez,Ernest Hemingway,1898
34,Stephen Bonsal,Ernest Hemingway,1899
35,Charles Baudelaire,Ernest Hemingway,1894
36,Robert Browning,Ernest Hemingway,1895
37,Peter Henry Emerson,Ernest Hemingway,1897
38,Abel Chapman,Ernest Hemingway,1893
39,G. A. Henty,Ernest Hemingway,1893
40,G. A. Henty,Ernest Hemingway,1896
41,Grover Flint,Ernest Hemingway,1898
42,Willard Glazier,Ernest Hemingway,1893
43,baron de Jean Baptiste Antoine Marcelin Marbot,Ernest Hemingway,1892
44,Mary Orvis Marbury,Ernest Hemingway,1892
45,Frederick Marryat,Ernest Hemingway,1898
46,John Franklin Cowan,Ernest Hemingway,1891
47,Pascual Millán,Ernest Hemingway,1890
48,Pascual Millán,Ernest Hemingway,1892
49,Stephen Crane,Ernest Hemingway,1898
50,Frederick Sleigh Roberts,Ernest Hemingway,1898
51,Albert William Money,Ernest Hemingway,1896
52,Dante Alighieri,Ernest Hemingway,1895
53,Henry Zouch Darrah,Ernest Hemingway,1898
54,Richard Harding Davis,Ernest Hemingway,1898
55,Alexandre Dumas,Ernest Hemingway,1892
56,George Louis Palmella Busson Du Maurier,Ernest Hemingway,1891
57,Edmond Rostand,Ernest Hemingway,1899
58,José Sánchez de Neira,Ernest Hemingway,1896
59,Henri Émile Sauvage,Ernest Hemingway,1891
60,Frederick Courteney Selous,Ernest Hemingway,1893
61,Arthur H. Neumann,Ernest Hemingway,1898
62,Frodi Ari ,W.H. Auden,1898
63,Lord Alfred Douglas ,W.H. Auden,1896
64,Robert Burns ,W.H. Auden,1896
65,John Donne ,W.H. Auden,1896
66,Clive Phillipps Wolley,Ernest Hemingway,1894
67,Leroy Milton Yale,Ernest Hemingway,1897
68,Henry Sweet   ,Ezra Pound,1898
69,George Haven Putnam   ,Ezra Pound,1898
70,Benjamin Godard   ,Ezra Pound,1890
71,Matthew Arnold,F. Scott Fitzgerald,1893
72,James Barnes,F. Scott Fitzgerald,1896
73,George Washington Cable,F. Scott Fitzgerald,1890
74,André Chénier,F. Scott Fitzgerald,1895
75,Sextus Propertius   ,Ezra Pound,1898
76,Theodor Hertzka   ,Ezra Pound,1891
77,Robert Herrick   ,Ezra Pound,1891
78,Alexander Del Mar   ,Ezra Pound,1895
79,Sir Thomas Malory   ,Ezra Pound,1892
80,Heinrich Heine,F. Scott Fitzgerald,1892
81,Klementyna Ta nska Hofmanowa,F. Scott Fitzgerald,1896
82,Plutarch   ,Ezra Pound,1899
83,John Donne   ,Ezra Pound,1896
84,[N.auth]   ,Ezra Pound,1899
85,Alexander Del Mar   ,Ezra Pound,1896
86,George Santayana   ,Ezra Pound,1896
87,Ida Farnell   ,Ezra Pound,1896
88,Dante   ,Ezra Pound,1897
89,Rudyard Kipling,Ernest Hemingway,1899
90,Rudyard Kipling,Ernest Hemingway,1899
91,Henry Wadsworth Longfellow,Ernest Hemingway,1899
92,Juan Gualberto (conde de las Navas) López-Valdemoro y de Quesada,Ernest Hemingway,1899
93,Ladislao Redondo,Ernest Hemingway,1899
94,Don Ildephonse Lanslots,Ernest Hemingway,1897
95,Thomas Bulfinch              ,e.e. cummings,1894
96,nan,e.e. cummings,1897
97,John Lubbock,F. Scott Fitzgerald,1890
98,Clara Dillingham Pierson              ,e.e. cummings,1899
99,François de Curel              ,e.e. cummings,1893
100,Frank Norris,F. Scott Fitzgerald,1899
101,Khayyam Omar,F. Scott Fitzgerald,1899
102,Thomas Nelson Page,F. Scott Fitzgerald,1892
103,Friedrich Paulsen,F. Scott Fitzgerald,1895
104,Helen Wall Pierson,F. Scott Fitzgerald,1899
105,Plutarch,F. Scott Fitzgerald,1898
106,Waldron Kintzing Post,F. Scott Fitzgerald,1893
107,Nathaniel Southgate Shaler              ,e.e. cummings,1898
108,George Bronson Rea,Ernest Hemingway,1897
109,Ladislao Redondo,Ernest Hemingway,1899
110,Antonio Peña y Goñi,Ernest Hemingway,1894
111,Daniel Perea,Ernest Hemingway,1895
112,Alejandro [Don Pio] Pérez Lugín,Ernest Hemingway,1890
113,A.P. Russell,F. Scott Fitzgerald,1890
114,Camille Prévost,Ernest Hemingway,1891
115,Rush Medical College,Ernest Hemingway,1895
116,Horace Elisha Scudder,F. Scott Fitzgerald,1895
117,Katherine Thomson,F. Scott Fitzgerald,1890
118,Leo Tolstoy,F. Scott Fitzgerald,1898
119,Constance Fenimore Woolson,F. Scott Fitzgerald,1896
