,Book Author,Book Owner,Publication Year
0,William Garden Blaikie,Ernest Hemingway,1881
1,Richard Markham,Ernest Hemingway,1881
2,Ulysses Simpson Grant,Ernest Hemingway,1885
3,William Wellington Greener,Ernest Hemingway,1881
4,James Greenwood,Ernest Hemingway,1880
5,[N.auth],Ernest Hemingway,1881
6,Helen Harcourt,Ernest Hemingway,1886
7,Pascual Millán,Ernest Hemingway,1887
8,Elizabeth Bacon Custer,Ernest Hemingway,1887
9,Robert Barnwell Roosevelt,Ernest Hemingway,1884
10,Daniel Defoe,Ernest Hemingway,1881
11,Frederick Courteney Selous,Ernest Hemingway,1881
12,William Shakespeare,Ernest Hemingway,1887
13,Augustin Galopin,James Joyce,1889
14,Maurice Thompson,Ernest Hemingway,1886
15,John Lingard,James Joyce,1885
16,Herbert Spencer,James Joyce,1888
17,Alfred Russel Wallace,Ernest Hemingway,1889
18,Thomas De Gray Walsingham,Ernest Hemingway,1887
19,George Herbert ,W.H. Auden,1885
20,Amedeo Soresina   ,Ezra Pound,1889
21,George Gordon Byron Byron,F. Scott Fitzgerald,1884
22,F. Scott Fitzgerald,F. Scott Fitzgerald,1880
23,W. J. Linton   ,Ezra Pound,1883
24,François Rabelais   ,Ezra Pound,1881
25,James Boswell   ,Ezra Pound,1884
26,James Boswell   ,Ezra Pound,1884
27,Arthur Galton   ,Ezra Pound,1885
28,Allen Upward   ,Ezra Pound,1888
29,Songling Pu   ,Ezra Pound,1880
30,Alexander Angus Airlie Kinloch,Ernest Hemingway,1885
31,Isaac Disraeli              ,e.e. cummings,1880
32,nan,e.e. cummings,1882
33,Edward Robert Bulwer Lytton,F. Scott Fitzgerald,1881
34,Toru Dutt              ,e.e. cummings,1888
35,Leo Tolstoy              ,e.e. cummings,1886
36,Edgar Allan Poe,F. Scott Fitzgerald,1881
37,Antonio Peña y Goñi,Ernest Hemingway,1887
38,Slason Thompson,F. Scott Fitzgerald,1889
39,John. Fiske              ,e.e. cummings,1889
40,W. Lucas Collins,James Joyce,1882
41,William Ballantyne Hodgson,James Joyce,1888
42,Isaac Disraeli              ,e.e. cummings,1885
43,William Allingham  ,W.B. Yeats,1889
44,Heinrich Düntzer  ,W.B. Yeats,1883
45,Carl Duprel  ,W.B. Yeats,1889
46,Edward Fairfax  ,W.B. Yeats,1882
47,American Humour  ,W.B. Yeats,1884
48,British Museum  ,W.B. Yeats,1881
49,George Herbert  ,W.B. Yeats,1880
50,Bible  ,W.B. Yeats,1886
51,Victor Hugo  ,W.B. Yeats,1885
52,William Blake  ,W.B. Yeats,1886
53,William Blake  ,W.B. Yeats,1887
54,Henrik Ibsen  ,W.B. Yeats,1888
55,Austin Brereton  ,W.B. Yeats,1884
56,Sir Samuel Ferguson  ,W.B. Yeats,1887
57,Sir Samuel Ferguson  ,W.B. Yeats,1887
58,Henri d' Arbois de Jubainville  ,W.B. Yeats,1884
59,Henri d' Arbois de Jubainville  ,W.B. Yeats,1883
60,John Keats  ,W.B. Yeats,1888
61,William Henry Giles Kingston  ,W.B. Yeats,1881
62,Walter Savage Landor  ,W.B. Yeats,1886
63,Editors of The Leisure Hour  ,W.B. Yeats,1889
64,J. Lempriere  ,W.B. Yeats,1888
65,Eric MacKay  ,W.B. Yeats,1886
66,Pierre de Marivaux  ,W.B. Yeats,1881
67,John Marston  ,W.B. Yeats,1887
68,Philip Massinger  ,W.B. Yeats,1887
69,Zohar  ,W.B. Yeats,1887
70,Zohar  ,W.B. Yeats,1887
71,Joseph Mazzini  ,W.B. Yeats,1887
72,William Morris  ,W.B. Yeats,1888
73,Alexander Stuart Murray  ,W.B. Yeats,1880
74,H. P. Horne  ,W.B. Yeats,1888
75,Standish O'Grady  ,W.B. Yeats,1889
76,Laurence Oliphant  ,W.B. Yeats,1888
77,Editors of Orion's  ,W.B. Yeats,1887
78,Editors of Orion's  ,W.B. Yeats,1882
79,Saint Patrick  ,W.B. Yeats,1888
80,Thomas Percy  ,W.B. Yeats,1889
81,Plato  ,W.B. Yeats,1888
