,Book Author,Book Owner,Publication Year
0,A.E.T.,Ernest Hemingway,1956
1,R. Abarquero Durango,Ernest Hemingway,1959
2,Edward Charles Abbott,Ernest Hemingway,1955
3,Dean Acheson,Ernest Hemingway,1959
4,James Donald Adams,Ernest Hemingway,1957
5,Miriam Allott (ed.),Ernest Hemingway,1959
6,Hollis Alpert,Ernest Hemingway,1958
7,John T. Amber (ed.),Ernest Hemingway,1958
8,Richard Aldington,Ernest Hemingway,1955
9,American Automobile Association,Ernest Hemingway,1958
10,Nelson Algren,Ernest Hemingway,1956
11,Henry Allen,Ernest Hemingway,1957
12,Henry Allen,Ernest Hemingway,1956
13,Walter Ernest Allen,Ernest Hemingway,1955
14,[N.auth],Ernest Hemingway,1959
15,American Museum of Natural History. New York City.,Ernest Hemingway,1956
16,American Museum of Natural History. New York City.,Ernest Hemingway,1956
17,Francesca Raimonde La Monte,Ernest Hemingway,1958
18,Alfred Andersch,Ernest Hemingway,1958
19,Jerome Bahr,Ernest Hemingway,1957
20,John Bainbridge,Ernest Hemingway,1955
21,Carlos Heard Baker,Ernest Hemingway,1958
22,Charles Henry Baker,Ernest Hemingway,1959
23,Edward Mayer Baker,Ernest Hemingway,1958
24,George Baker,Ernest Hemingway,1956
25,Sherman Baker,Ernest Hemingway,1955
26,Hanson Weightman Baldwin,Ernest Hemingway,1955
27,Doris Bell Ball,Ernest Hemingway,1955
28,Hoffman Birney,Ernest Hemingway,1956
29,Jim Bishop,Ernest Hemingway,1955
30,Jim Bishop,Ernest Hemingway,1955
31,Richard Pike Bissell,Ernest Hemingway,1957
32,Sir James Gordon Partridge Bisset,Ernest Hemingway,1959
33,Forrester Blake,Ernest Hemingway,1958
34,Lesley Blanch,Ernest Hemingway,1955
35,Ike Blasingame,Ernest Hemingway,1958
36,Karen Blixen [Isak Dinesen],Ernest Hemingway,1957
37,Harry Barnard,Ernest Hemingway,1958
38,Jean Bloch-Michel,Ernest Hemingway,1955
39,Georges Blond,Ernest Hemingway,1955
40,Murray Teigh Bloom,Ernest Hemingway,1957
41,[N.auth],Ernest Hemingway,1958
42,Eric Wollencott Barnes,Ernest Hemingway,1956
43,A. Coleman Blum,Ernest Hemingway,1958
44,David Irving Blumenstock,Ernest Hemingway,1959
45,Fernando Boada,Ernest Hemingway,1959
46,Fernando Boada,Ernest Hemingway,1959
47,[N.auth],Ernest Hemingway,1955
48,Pio Baroja y Nessi,Ernest Hemingway,1956
49,Pio Baroja y Nessi,Ernest Hemingway,1955
50,Luis Bollaín,Ernest Hemingway,1957
51,Diana Barrymore,Ernest Hemingway,1958
52,Donald Richmond Barton,Ernest Hemingway,1955
53,Jacques Barzun,Ernest Hemingway,1959
54,Paul Hyde Bonner,Ernest Hemingway,1957
55,Paul Hyde Bonner,Ernest Hemingway,1955
56,Alain Bosquet (ed.),Ernest Hemingway,1956
57,James Boswell,Ernest Hemingway,1955
58,Sylvia Beach,Ernest Hemingway,1956
59,Bernard Botein,Ernest Hemingway,1957
60,Vance Bourjaily,Ernest Hemingway,1955
61,Vance Bourjaily (ed.),Ernest Hemingway,1955
62,John Gregory Bourke,Ernest Hemingway,1958
63,John Gregory Bourke,Ernest Hemingway,1958
64,James Beard,Ernest Hemingway,1956
65,Catherine Drinker Bowen,Ernest Hemingway,1957
66,Simone de Beauvoir,Ernest Hemingway,1956
67,Ivan Lawrence Becker,Ernest Hemingway,1959
68,Samuel Beckett,Ernest Hemingway,1958
69,Paul Frederic Bowles,Ernest Hemingway,1955
70,Paul Frederic Bowles,Ernest Hemingway,1957
71,Russell Braddon,Ernest Hemingway,1957
72,Robert J. Braidwood,Ernest Hemingway,1957
73,Harvey Breit,Ernest Hemingway,1956
74,Gerald Brenan,Ernest Hemingway,1957
75,Gerald Brenan,Ernest Hemingway,1957
76,Dan Brennan,Ernest Hemingway,1957
77,Bessie Breuer,Ernest Hemingway,1957
78,Ed Bell,Ernest Hemingway,1957
79,Walter Dalrymple Maitland Bell,Ernest Hemingway,1958
80,José María Belloch Puig,Ernest Hemingway,1957
81,Guy Belzacq,Ernest Hemingway,1957
