,Book Author,Book Owner,Book Title,Publication Year
0,edward charles abbott,ernest hemingway,We pointed them north; recollections of a cowpuncher,1939
1,george adam,ernest hemingway,Treason and tragedy : an account of French war trials,1929
2,george adam,ernest hemingway,A book about Paris,1928
3, louis adamic,ernest hemingway,Dynamite: the story of class violence in America,1931
4,henry adams,ernest hemingway,Mont-Saint-Michel and Chartres,1933
5,james truslow adams,ernest hemingway,The epic of America,1931
6,nicholson b. adams,ernest hemingway,Brief French review grammar and composition,1936
7,samuel hopkins adams,ernest hemingway,Incredible era; the life and times of Warren Gamaliel Harding,1939
8,james agee,ernest hemingway,Permit me voyage,1934
9,margery allingham,ernest hemingway,Flowers for the judge,1936
10,[n.auth],ernest hemingway,The Allianza Nazionale: Documents of the Second Italian Risorgimento,1931
11,joseph alexander altsheler,ernest hemingway,The Great Sioux Trail: a story of mountain and plain,1923
12,basilio alvarez,ernest hemingway,España en crisol: Carta-prólogo del ministro de España F. Jimenez de Asua,1937
13,[n.auth],ernest hemingway,Albatross almanac for 1933,1933
14,[n.auth],ernest hemingway,The albatross book of American short stories,1935
15,[n.auth],ernest hemingway,Gli alberghi in Italia,1936
16,federico m. alcázar,ernest hemingway,Sánchez Mejiás: El torero y el hombre,1922
17,richard aldington,ernest hemingway,"All men are enemies, a romance",1933
18,léon ameline,ernest hemingway,Ce qu'il faut connaître de la police et de ses mystères,1926
19,richard aldington,ernest hemingway,"The love of Myrrhine and Konallis, and other prose poems",1926
20,waldo frank (ed.),ernest hemingway,America & Alfred Stieglitz: A collective portrait,1934
21,american automobile association,ernest hemingway,Northeastern Tour Book,1939
22,wilfrid backhouse alexander,ernest hemingway,"Birds of the ocean, a handbook for voyagers containing descriptions of all the sea-birds of the world, with notes on the",1928
23,brooks van wyck,ernest hemingway,The American Caravan: a yearbook of American literature,1927
24,american kennel club,ernest hemingway,Toy dogs: the breeds and standards as recognized by the American Kennel Club,1935
25,ted allan,ernest hemingway,This time a better earth; a novel,1939
26,herbert warner allen,ernest hemingway,The wines of France,1924
27,henry philip bernard baerlein,ernest hemingway,"Belmonte, the matador",1934
28,hans christian andersen,ernest hemingway,Contes d'Andersen,1930
29,ventura bagüés,ernest hemingway,Efemérides taurinas : hoy hace años (Segunda serie de julio a diciembre),1928
30,jerome bahr,ernest hemingway,The platinum tower,1939
31,earl derr biggers,ernest hemingway,"Charlie Chan's caravan: The chinese parrot, The black camel, Charlie Chan carries on",1929
32,fernand biguet,ernest hemingway,La pêche à la ligne d'aujourd'hui,1929
33,henry christopher bailey,ernest hemingway,The twittering bird mystery,1938
