,Book Author,Book Owner,Publication Year
0,A.E.T.,Ernest Hemingway,1956
1,R. Abarquero Durango,Ernest Hemingway,1959
2,Edward Charles Abbott,Ernest Hemingway,1955
3,Edward Charles Abbott,Ernest Hemingway,1939
4,Hallett Edward Abend,Ernest Hemingway,1941
5,Dean Acheson,Ernest Hemingway,1959
6,Julián Acuña,Ernest Hemingway,1949
7,George Adam,Ernest Hemingway,1929
8,George Adam,Ernest Hemingway,1928
9, Louis Adamic,Ernest Hemingway,1931
10,Charlotte Adams,Ernest Hemingway,1960
11,Cleve F. Adams,Ernest Hemingway,1944
12,Franklin P. Adams,Ernest Hemingway,1942
13,Henry Adams,Ernest Hemingway,1947
14,Henry Adams,Ernest Hemingway,1933
15,James Donald Adams,Ernest Hemingway,1953
16,James Donald Adams,Ernest Hemingway,1945
17,James Donald Adams,Ernest Hemingway,1957
18,James Truslow Adams,Ernest Hemingway,1931
19,James Truslow Adams,Ernest Hemingway,1944
20,James Truslow Adams,Ernest Hemingway,1943
21,Nicholson B. Adams,Ernest Hemingway,1936
22,Ramon F. Adams,Ernest Hemingway,1944
23,Richard P. Adams,Ernest Hemingway,1951
24,Samuel Hopkins Adams,Ernest Hemingway,1945
25,Samuel Hopkins Adams,Ernest Hemingway,1939
26,Charles Addams,Ernest Hemingway,1942
27,Polly Adler,Ernest Hemingway,1953
28,Frederick George Aflalo,Ernest Hemingway,1901
29,Herbert Agar,Ernest Hemingway,1940
30,James Agee,Ernest Hemingway,1934
31,James Agee,Ernest Hemingway,1941
32,James Agee,Ernest Hemingway,1960
33,Mary Allerton,Ernest Hemingway,1940
34,Rewi Alley,Ernest Hemingway,1940
35,Margery Allingham,Ernest Hemingway,1952
36,Margery Allingham,Ernest Hemingway,1936
37,Margery Allingham,Ernest Hemingway,1952
38,[N.auth],Ernest Hemingway,1931
39,Luis Alayza Paz Soldán,Ernest Hemingway,1953
40,Luis Alayza Paz Soldán,Ernest Hemingway,1951
41,Miriam Allott (ed.),Ernest Hemingway,1959
42,Rubert Royce Allyn,Ernest Hemingway,1952
43,[N.auth],Ernest Hemingway,1941
44,E. M. Almedingen,Ernest Hemingway,1944
45,Hollis Alpert,Ernest Hemingway,1958
46,Stewart Alsop,Ernest Hemingway,1946
47,Joseph Alexander Altsheler,Ernest Hemingway,1923
48,Basilio Alvarez,Ernest Hemingway,1937
49,Marcelino [Marcelo] Alvarez,Ernest Hemingway,1911
50,Julio Alvarez del Vayo,Ernest Hemingway,1940
51,[N.auth],Ernest Hemingway,1933
52,Armando Alvarez Pedroso,Ernest Hemingway,1944
53,[N.auth],Ernest Hemingway,1935
54,George Sumner Albee,Ernest Hemingway,1960
55,José Amador de Los Rios,Ernest Hemingway,1943
56,[N.auth],Ernest Hemingway,1936
57,Arturo Alberni,Ernest Hemingway,1947
58,Martha Albrand,Ernest Hemingway,1943
59,Album Cubane,Ernest Hemingway,1960
60,John T. Amber (ed.),Ernest Hemingway,1958
61,George Amberg,Ernest Hemingway,1947
62,Eric Ambler,Ernest Hemingway,1945
63,Federico M. Alcázar,Ernest Hemingway,1922
64,Eric Ambler,Ernest Hemingway,1943
65,Eric Ambler,Ernest Hemingway,1951
66,Alcoholics Anonymous,Ernest Hemingway,1952
67,Eric Ambler,Ernest Hemingway,1953
68,Louisa May Alcott,Ernest Hemingway,1893
69,Richard Aldington,Ernest Hemingway,1933
70,Richard Aldington,Ernest Hemingway,1943
71,Richard Aldington,Ernest Hemingway,1955
72,Léon Ameline,Ernest Hemingway,1926
73,Richard Aldington,Ernest Hemingway,1926
74,[N.auth],Ernest Hemingway,1941
75,Waldo Frank (ed.),Ernest Hemingway,1934
76,James Aldridge,Ernest Hemingway,1944
77,Ciro Alegría,Ernest Hemingway,1941
78,American Automobile Association,Ernest Hemingway,1939
79,Sidney Alexander,Ernest Hemingway,1951
80,Wilfrid Backhouse Alexander,Ernest Hemingway,1928
81,American Automobile Association,Ernest Hemingway,1947
82,American Automobile Association,Ernest Hemingway,1947
83,Wilfrid Backhouse Alexander,Ernest Hemingway,1954
84,American Automobile Association,Ernest Hemingway,1958
