,Book Author,Book Owner,Publication Year
0,A.E.T.,Ernest Hemingway,1956
1,R. Abarquero Durango,Ernest Hemingway,1959
2,Edward Charles Abbott,Ernest Hemingway,1955
3,Dean Acheson,Ernest Hemingway,1959
4,James Donald Adams,Ernest Hemingway,1953
5,James Donald Adams,Ernest Hemingway,1957
6,Richard P. Adams,Ernest Hemingway,1951
7,Polly Adler,Ernest Hemingway,1953
8,Margery Allingham,Ernest Hemingway,1952
9,Margery Allingham,Ernest Hemingway,1952
10,Luis Alayza Paz Soldán,Ernest Hemingway,1953
11,Luis Alayza Paz Soldán,Ernest Hemingway,1951
12,Miriam Allott (ed.),Ernest Hemingway,1959
13,Rubert Royce Allyn,Ernest Hemingway,1952
14,Hollis Alpert,Ernest Hemingway,1958
15,John T. Amber (ed.),Ernest Hemingway,1958
16,Eric Ambler,Ernest Hemingway,1951
17,Alcoholics Anonymous,Ernest Hemingway,1952
18,Eric Ambler,Ernest Hemingway,1953
19,Richard Aldington,Ernest Hemingway,1955
20,Sidney Alexander,Ernest Hemingway,1951
21,Wilfrid Backhouse Alexander,Ernest Hemingway,1954
22,American Automobile Association,Ernest Hemingway,1958
23,Nelson Algren,Ernest Hemingway,1951
24,Nelson Algren,Ernest Hemingway,1956
25,Ted Allan,Ernest Hemingway,1952
26,Frederick Lewis Allen,Ernest Hemingway,1952
27,Henry Allen,Ernest Hemingway,1957
28,Henry Allen,Ernest Hemingway,1954
29,Henry Allen,Ernest Hemingway,1956
30,Hervey Allen,Ernest Hemingway,1953
31,Jerry Allen,Ernest Hemingway,1954
32,Robert S. Allen,Ernest Hemingway,1950
33,Robert Sharon Allen (ed.),Ernest Hemingway,1950
34,Walter Ernest Allen,Ernest Hemingway,1955
35,[N.auth],Ernest Hemingway,1959
36,American Museum of Natural History. New York City.,Ernest Hemingway,1956
37,American Museum of Natural History. New York City.,Ernest Hemingway,1956
38,Francesca Raimonde La Monte,Ernest Hemingway,1958
39,Cleveland Amory,Ernest Hemingway,1952
40,Alfred Andersch,Ernest Hemingway,1958
41,Hans Christian Andersen,Ernest Hemingway,1954
42,Jerome Bahr,Ernest Hemingway,1957
43,John Bainbridge,Ernest Hemingway,1955
44,Carlos Heard Baker,Ernest Hemingway,1958
45,James K. Binder,Ernest Hemingway,1951
46,Carlos Heard Baker,Ernest Hemingway,1954
47,Carlos Heard Baker,Ernest Hemingway,1952
48,Charles Henry Baker,Ernest Hemingway,1959
49,Baron Christopher Bromhead Birdwood,Ernest Hemingway,1953
50,Edward Mayer Baker,Ernest Hemingway,1958
51,George Baker,Ernest Hemingway,1956
52,Sherman Baker,Ernest Hemingway,1955
53,Hanson Weightman Baldwin,Ernest Hemingway,1955
54,Doris Bell Ball,Ernest Hemingway,1955
55,James Ballard,Ernest Hemingway,1950
56,Consuelo Vanderbilt Balsan,Ernest Hemingway,1953
57,Honoré de Balzac,Ernest Hemingway,1950
58,Carel Birkby,Ernest Hemingway,1954
59,Hoffman Birney,Ernest Hemingway,1956
60,Jim Bishop,Ernest Hemingway,1955
61,Jim Bishop,Ernest Hemingway,1955
62,Jim Bishop,Ernest Hemingway,1952
63,Richard Pike Bissell,Ernest Hemingway,1957
64,Richard Pike Bissell,Ernest Hemingway,1950
65,Sir James Gordon Partridge Bisset,Ernest Hemingway,1959
66,Forrester Blake,Ernest Hemingway,1958
67,Lesley Blanch,Ernest Hemingway,1955
68,Gian Andrea Bandini,Ernest Hemingway,1954
69,Lesley Blanch,Ernest Hemingway,1954
70,Tallulah Bankhead,Ernest Hemingway,1952
71,Ike Blasingame,Ernest Hemingway,1958
72,Karen Blixen [Isak Dinesen],Ernest Hemingway,1957
73,Arturo Barea,Ernest Hemingway,1951
74,Karen Blixen [Isak Dinesen],Ernest Hemingway,1952
75,Harry Barnard,Ernest Hemingway,1958
76,Jean Bloch-Michel,Ernest Hemingway,1955
77,Georges Blond,Ernest Hemingway,1955
78,Murray Teigh Bloom,Ernest Hemingway,1957
79,Keppel Harcourt Barnard,Ernest Hemingway,1951
80,[N.auth],Ernest Hemingway,1958
81,Eric Wollencott Barnes,Ernest Hemingway,1954
