,Book Author,Book Owner,Book Title,Publication Year
0,a.e.t.,ernest hemingway,Sinistro and celebration: 19 poems,1956
1,r. abarquero durango,ernest hemingway,Tauromaquia y taurogogía: Algunos concertos básicos para la revisión de la fiesta nacional,1959
2,edward charles abbott,ernest hemingway,We pointed them North; recollections of a cowpuncher,1955
3,edward charles abbott,ernest hemingway,We pointed them north; recollections of a cowpuncher,1939
4,hallett edward abend,ernest hemingway,Japan unmasked,1941
5,dean acheson,ernest hemingway,Sketches from life of men I have known,1959
6,julián acuña,ernest hemingway,El mosaico y otras plagas de la fruta bomba,1949
7,george adam,ernest hemingway,Treason and tragedy : an account of French war trials,1929
8,george adam,ernest hemingway,A book about Paris,1928
9, louis adamic,ernest hemingway,Dynamite: the story of class violence in America,1931
10,charlotte adams,ernest hemingway,The SAS world wide restaurant cookbook,1960
11,cleve f. adams,ernest hemingway,The crooking finger : a Rex McBride murder mystery,1944
12,franklin p. adams,ernest hemingway,"Innocent merriment, an anthology of light verse",1942
13,henry adams,ernest hemingway,Henry Adams and his friends,1947
14,henry adams,ernest hemingway,Mont-Saint-Michel and Chartres,1933
15,james donald adams,ernest hemingway,The new treasure chest; an anthology of reflective prose,1953
16,james donald adams,ernest hemingway,The shape of books to come,1945
17,james donald adams,ernest hemingway,"Triumph over odds; an anthology of man's unconquerable spirit, edited with a foreword and introductory notes",1957
18,james truslow adams,ernest hemingway,The epic of America,1931
19,james truslow adams,ernest hemingway,Album of American history,1944
20,james truslow adams,ernest hemingway,Atlas of American history,1943
21,nicholson b. adams,ernest hemingway,Brief French review grammar and composition,1936
22,ramon f. adams,ernest hemingway,"Western words; a dictionary of the range, cow camp and trail",1944
23,richard p. adams,ernest hemingway,Sunrise out of the waste land,1951
24,samuel hopkins adams,ernest hemingway,"A. Woollcott, his life and his world",1945
25,samuel hopkins adams,ernest hemingway,Incredible era; the life and times of Warren Gamaliel Harding,1939
26,charles addams,ernest hemingway,Drawn and quartered,1942
27,polly adler,ernest hemingway,A house is not a home,1953
28,frederick george aflalo,ernest hemingway,Sport in Europe,1901
29,herbert agar,ernest hemingway,The city of man; a declaration on world democracy,1940
30,james agee,ernest hemingway,Permit me voyage,1934
31,james agee,ernest hemingway,Let us now praise famous men,1941
32,james agee,ernest hemingway,Let us now praise famous men; three tenant families,1960
33,mary allerton,ernest hemingway,The shadow and the web,1940
34,rewi alley,ernest hemingway,Two years of Indusco,1940
35,margery allingham,ernest hemingway,Coroner's pidgin,1952
36,margery allingham,ernest hemingway,Flowers for the judge,1936
37,margery allingham,ernest hemingway,Mystery mile,1952
38,[n.auth],ernest hemingway,The Allianza Nazionale: Documents of the Second Italian Risorgimento,1931
39,luis alayza paz soldán,ernest hemingway,La capa roja: Novela peruana de los tiempos del general Salaverry,1953
40,luis alayza paz soldán,ernest hemingway,Las misteriosas islas del Perú,1951
41,miriam allott (ed.),ernest hemingway,Novelists on the novel,1959
42,rubert royce allyn,ernest hemingway,Water wagon; through Florida waterways by scow and outboard motor,1952
43,[n.auth],ernest hemingway,Almanaque agrícola nacional,1941
44,e. m. almedingen,ernest hemingway,Frossia,1944
45,hollis alpert,ernest hemingway,The summer lovers,1958
46,stewart alsop,ernest hemingway,Sub rosa: the O.S.S. and American espionage,1946
47,joseph alexander altsheler,ernest hemingway,The Great Sioux Trail: a story of mountain and plain,1923
48,basilio alvarez,ernest hemingway,España en crisol: Carta-prólogo del ministro de España F. Jimenez de Asua,1937
49,marcelino [marcelo] alvarez,ernest hemingway,Las competencias: Bomba-Gallo-Machaco-Pastor,1911
50,julio alvarez del vayo,ernest hemingway,Freedom's battle,1940
51,[n.auth],ernest hemingway,Albatross almanac for 1933,1933
52,armando alvarez pedroso,ernest hemingway,Cristóbâl Colón: Biografía del descubridor,1944
53,[n.auth],ernest hemingway,The albatross book of American short stories,1935
